Time	stat-140323-165754-Porta80-1.txt	stat-140323-170110-Porta80-2.txt	stat-140323-170443-Porta80-3.txt	stat-140323-170827-Porta80-4.txt	stat-140323-171146-Porta80-5.txt	stat-140323-171538-Porta80-6.txt	stat-140323-172116-Porta80-7.txt	stat-140323-172430-Porta80-8.txt	stat-140323-175630-Porta80-9.txt	stat-140323-180112-Porta80-10.txt	stat-140323-180435-Porta80-11.txt	stat-140323-181113-Porta80-12.txt	stat-140323-181502-Porta80-13.txt	stat-140323-181815-Porta80-14.txt	stat-140323-182337-Porta80-15.txt	stat-140323-182724-Porta80-16.txt	stat-140323-183053-Porta80-17.txt	stat-140323-183416-Porta80-18.txt	stat-140323-184039-Porta80-19.txt	stat-140323-211037-Porta80-20.txt	stat-140323-211944-Porta80-21.txt	stat-140323-212256-Porta80-22.txt	stat-140323-212658-Porta80-23.txt	stat-140323-213104-Porta80-24.txt	stat-140323-213427-Porta80-25.txt	stat-140323-213801-Porta80-26.txt	stat-140323-214220-Porta80-27.txt	stat-140323-214643-Porta80-28.txt	stat-140323-215116-Porta80-29.txt	stat-140323-215431-Porta80-30.txt
84	0	0	0	2937	3125	3151	0	2843	3285	3081	2505	2871	2257	2934	1725	2020	0	2888	0	0	0	2974	0	619	2518	1172	1029	2389	2644	170	
85	1327	1180	0	2419	2769	3229	627	2385	2571	2518	2858	2742	2529	3179	2466	3143	2527	1407	0	0	922	187	1778	3208	2694	2920	1524	1918	2648	0	
86	2823	3262	531	2120	2287	1287	2487	9	2881	3065	2780	3146	2570	3	32	915	2691	0	2777	1531	2901	0	3173	1782	2875	2497	0	2474	2570	1654	
87	3219	2787	2814	2668	2750	0	2080	0	2280	2444	1043	2944	408	1939	0	0	3061	0	2374	2979	2791	2602	2621	148	5	2033	0	430	2059	2955	
88	973	651	2719	2889	2539	0	2471	1593	2830	1865	0	2597	3172	2486	65	1127	3076	2676	0	3078	0	2753	2454	2707	0	0	0	0	2832	2843	
89	0	1636	2798	2623	0	0	2216	2843	2439	0	541	377	2729	2400	2982	2784	3040	2400	0	2686	0	2758	2280	2555	1597	0	539	0	1219	2555	
90	2348	2785	3031	96	0	1589	2690	3183	2840	0	2891	0	3142	2325	2983	2536	3115	2672	2313	3312	1827	650	2738	2947	2424	194	2710	2982	32	3023	
91	2564	3154	2157	0	0	3175	428	604	1198	1428	2990	995	2567	13	2728	3212	2335	229	2811	2855	2751	0	2788	2063	2506	2290	2873	2645	0	2921	
92	1908	2886	2801	0	2779	2569	2195	0	3060	3118	2081	2965	333	0	2647	2595	2102	0	2671	2886	2537	369	1312	0	1457	2786	115	1867	772	3088	
93	305	2513	3278	2107	3084	2408	2366	690	2968	2398	1125	3107	0	1626	2558	2759	0	0	2784	1334	2603	2396	0	0	0	1779	1633	2944	2817	2675	
94	0	2140	747	2968	947	2506	2662	2411	2320	183	2543	3291	42	2717	1776	2327	0	3254	3192	0	2842	2970	0	0	696	2568	2663	2561	2247	622	
95	233	0	0	1916	0	2620	2744	3244	2856	0	3106	2543	2499	2662	0	2716	1362	3109	3035	0	2590	2725	2212	540	2880	2895	3020	2897	2834	0	
96	2860	0	0	3054	956	3093	667	2621	2777	2863	2605	2343	2663	90	0	1644	2663	2451	2504	2215	2781	2775	2798	3133	1861	2789	2809	2531	945	642	
97	2815	753	1856	2771	2481	666	847	2621	2459	2658	3064	2924	2881	2508	2692	0	2771	2503	3431	2956	2347	2773	1879	2555	2202	3150	60	728	2346	2330	
98	2880	2213	2960	2632	2978	0	3030	2659	3091	2637	1852	2648	539	2411	2898	0	1152	2836	404	2202	0	2573	0	2443	0	879	0	0	3421	3484	
99	113	2384	2158	2795	1209	820	2755	0	2149	2680	0	1283	0	2699	1613	0	0	2482	0	278	0	2933	0	2750	0	0	3	0	2649	668	
100	1180	770	1939	1511	0	1948	2439	0	2748	2336	0	0	0	2390	0	1056	0	2829	0	2321	433	799	1720	2243	2008	0	2485	2084	2606	0	
101	2241	0	2400	1030	2084	2390	2391	1045	1672	1151	0	0	1197	223	0	2580	2549	1277	2254	2650	2487	0	2653	2485	2450	820	2632	2617	0	0	
102	2234	0	2644	2373	2295	1631	1872	2581	18	0	1484	2546	2556	0	1146	2136	2572	0	2412	2292	2429	0	2556	839	2086	2369	616	2522	0	2756	
103	2409	4	2974	2389	2288	2801	0	1875	2496	0	2832	2990	2632	0	2764	416	1342	0	958	1717	850	1237	368	0	2366	2088	0	293	1983	2800	
104	3	3163	2071	2178	1556	2580	0	0	2622	0	1322	1943	0	1396	2339	0	0	0	0	0	0	1247	0	0	2406	2496	0	0	2105	1445	
105	1123	1647	2273	1515	0	2476	1167	0	2400	1455	95	0	521	2211	1105	629	0	1932	0	0	1744	1160	0	1377	2290	2681	0	237	2856	0	
106	2717	226	2795	0	0	3150	2156	1501	1619	1192	2507	0	2572	337	2391	2537	1027	1283	2035	0	2577	2068	2238	2136	2844	2395	911	2005	80	0	
107	2122	3159	2812	0	0	743	2647	3020	0	0	2935	1488	3422	0	3083	2374	2703	0	2877	1940	2783	1711	2434	2680	2971	2593	3290	3013	0	1338	
108	2745	3120	3186	974	2782	0	147	2997	0	2144	2621	2356	2513	85	2708	520	2575	0	2820	2883	1043	2516	2404	27	0	2914	350	898	406	2397	
109	488	2709	2991	2983	2728	0	1632	2837	2916	3322	2650	1710	2798	2804	3118	0	2832	3026	224	948	0	2712	2826	2200	0	306	0	0	3169	3120	
110	0	3246	1204	2829	2930	2605	2636	2527	3229	2807	2836	0	3020	3064	1571	1383	3016	3130	0	0	0	1711	2694	2467	572	0	0	0	3382	3463	
111	546	2781	0	2564	2689	3061	3261	3061	2992	3156	3392	1480	34	1135	0	3133	2701	2939	0	0	74	583	3132	2944	3053	289	0	1342	1819	2536	
112	2828	2505	0	2587	2580	2166	2969	288	2896	2474	2370	3090	0	2800	1824	3370	2558	3133	1594	1146	2713	3035	2924	2423	2040	2974	2299	3124	0	2963	
113	2545	3146	1337	1740	2767	0	2840	0	3136	2439	3169	3040	0	3312	3403	3272	3009	2439	3130	2754	2062	2739	2430	79	40	2737	3079	2210	0	3175	
114	2267	2623	2910	0	2165	1407	1674	1224	2928	0	2949	3284	393	2625	3080	2663	0	2685	2845	3382	0	2658	0	0	0	582	345	91	1529	3059	
115	3029	2033	2854	526	0	2837	0	2826	3163	0	2804	2915	2855	3127	811	3077	939	3020	2779	3034	0	1444	0	1278	73	0	0	2745	2817	451	
116	2396	2113	241	2905	0	3128	0	2990	2502	0	3739	1809	2083	2793	1127	3474	2821	2337	3417	2801	803	0	451	2696	2819	1908	0	2836	2863	0	
117	2466	2633	0	2731	2182	2632	2126	870	647	2766	2524	0	3092	2965	2998	3502	2968	0	3120	2503	2861	488	2915	2404	2959	2701	0	3137	2463	0	
118	3004	2821	0	1722	2861	0	2575	3065	3292	2899	1683	0	2830	2937	2578	794	2504	0	2902	2916	2591	2670	2818	884	3064	2655	1665	2370	2577	2975	
119	1705	2582	630	0	3076	1257	2927	3292	2488	2452	0	0	3392	2695	2940	0	0	0	2320	2183	2702	2830	1584	0	3100	1488	3003	0	2373	3013	
120	0	2835	2562	543	884	2434	616	2553	3097	3651	0	1685	2779	2920	950	2075	0	1587	0	0	3072	2672	1683	784	2948	0	3194	0	3156	1646	
121	0	1297	2820	2843	573	2686	2501	2957	2456	2585	0	2847	1560	2402	0	3193	0	2645	0	0	2636	0	3474	2937	3255	0	3181	0	2655	0	
122	1312	2810	8	2357	2622	3028	3017	1269	281	3449	2288	3166	3444	0	0	2741	2893	1296	1290	677	3361	0	2401	2801	2696	0	2581	1415	0	0	
123	2991	3165	1450	2446	2821	1007	2894	0	0	2763	2937	3186	2809	0	379	977	2578	0	3172	2598	2426	1181	3149	3068	1974	457	3185	2835	1633	2040	
124	2149	2812	3086	2952	2712	0	2641	0	0	547	200	2850	2854	2091	3179	0	639	0	3001	2189	0	3038	1893	3093	-	2595	2750	2384	2491	2644	
125	0	3020	2795	2354	769	0	3161	0	1966	1223	1433	2667	2732	2875	2444	0	0	2170	991	0	0	3341	0	2980	-	2776	0	2948	3042	2443	
126	0	573	2876	0	0	1353	1976	2156	3037	2851	3219	1772	2547	2740	494	1212	1400	2920	0	0	2461	1809	0	3487	-	2890	0	2567	3080	0	
127	0	0	673	0	2251	2777	0	2374	2414	3007	2790	0	129	0	0	2914	3135	2535	800	0	2571	1124	0	2551	-	2852	0	2869	0	1001	
128	940	0	0	797	3233	3134	0	2812	0	2907	2759	0	0	0	246	2354	2813	2771	2655	2510	2895	2225	1997	1533	-	3254	1642	2841	0	2828	
129	2260	2884	1528	3085	2603	2842	1051	1761	2547	2957	58	1827	2451	815	2814	-	2976	2757	3018	3529	-	3432	2793	-	-	2794	2609	1219	2645	2962	
130	133	242	271	413	219	323	208	240	139	171	-	268	167	337	145	-	68	239	229	135	-	167	182	-	-	309	346	-	143	348	
